epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,9699.11,0.40282,0.22119,0.77154,0.99869,0.98796,0.9934,0.92998,0.30515,0.18005,0.78522,0.002476,0.002476,0.002476
40,9917.7,0.39949,0.21951,0.77146,0.99879,0.98798,0.99341,0.93042,0.30381,0.17903,0.78505,0.002278,0.002278,0.002278
41,10135.7,0.36353,0.20854,0.76597,0.99872,0.98814,0.99345,0.93063,0.30299,0.17836,0.78482,0.00208,0.00208,0.00208
42,10337.1,0.35567,0.20369,0.76511,0.99864,0.9882,0.99348,0.93137,0.30134,0.17725,0.78467,0.001882,0.001882,0.001882
43,10538.3,0.35076,0.20063,0.76538,0.99863,0.98835,0.99351,0.93179,0.30032,0.17642,0.78451,0.001684,0.001684,0.001684
44,10739.5,0.3455,0.19783,0.7649,0.99863,0.98837,0.99353,0.93223,0.29956,0.17574,0.78439,0.001486,0.001486,0.001486
45,10940.5,0.34056,0.19481,0.764,0.99862,0.98842,0.99354,0.93257,0.29872,0.17493,0.78426,0.001288,0.001288,0.001288
46,11140.4,0.3365,0.19251,0.76428,0.99869,0.98847,0.9935,0.93311,0.29797,0.1744,0.78418,0.00109,0.00109,0.00109
47,11338.6,0.33188,0.1895,0.76421,0.99866,0.98845,0.99352,0.93327,0.29731,0.17373,0.78407,0.000892,0.000892,0.000892
48,11536.5,0.32884,0.18736,0.764,0.99867,0.98845,0.99353,0.93361,0.29659,0.17319,0.78397,0.000694,0.000694,0.000694
49,11734.4,0.32409,0.18439,0.76354,0.99864,0.98846,0.99354,0.93396,0.29599,0.17283,0.78388,0.000496,0.000496,0.000496
50,11932.7,0.31931,0.18146,0.76292,0.9987,0.98843,0.99352,0.9342,0.29555,0.17234,0.78382,0.000298,0.000298,0.000298
